,A,B,C
349,482,608,67
350,995,203,774
351,888,477,384
352,472,679,245
353,1185,270,519
354,522,224,187
355,1001,275,131
356,1105,455,94
357,6,656,694
358,920,114,778
359,255,603,858
360,1014,149,725
361,77,490,323
362,498,531,577
363,431,188,713
364,690,400,527
365,422,250,214
366,493,377,297
367,271,620,754
368,349,350,661
369,269,33,411
370,904,148,45
371,467,253,810
372,634,500,579
373,911,273,255
374,61,435,497
375,1011,148,539
376,644,222,750
377,422,402,600
378,521,35,94
379,226,331,852
380,728,503,333
381,782,206,441
382,699,110,362
383,1099,552,263
384,195,262,298
385,785,219,303
386,56,559,384
387,334,20,498
388,421,580,733
389,146,184,844
390,46,614,630
391,1153,363,715
392,702,300,261
393,495,70,755
394,1088,522,13
395,271,626,876
396,561,581,649
397,263,500,53
398,614,684,229
399,849,352,338
400,69,397,571
401,18,400,290
402,684,99,149
403,1005,473,94
404,378,363,491
405,341,126,215
406,765,34,328
407,979,346,693
408,152,675,79
409,13,519,772
410,1124,58,545
411,1166,613,14
412,1020,598,437
413,31,92,440
414,98,182,604
415,1173,177,593
416,907,112,20
417,559,334,702
418,185,336,79
419,831,519,742
420,596,98,241
421,142,185,857
422,1170,189,313
423,480,99,725
424,628,361,808
425,113,218,506
426,558,393,692
427,1166,479,20
428,1056,8,356
429,927,57,330
430,876,485,12
431,24,28,491
432,116,618,241
433,399,672,787
434,36,118,454
435,283,34,612
436,924,462,867
437,392,442,851
438,1173,22,515
439,363,321,614
440,931,409,477
441,343,647,213
442,24,128,649
443,757,652,97
444,285,666,522
445,1117,670,866
446,266,56,759
447,315,587,91
448,459,653,336
449,1002,26,278
450,1167,608,425
451,842,162,190
452,924,324,288
453,633,4,808
454,65,589,169
455,196,124,546
456,953,120,335
457,913,407,682
458,828,412,736
459,229,399,754
460,856,487,866
461,969,489,93
462,617,577,16
463,383,393,336
464,849,474,799
465,423,176,761
466,1107,164,322
467,1151,344,67
468,147,477,182
469,569,207,376
470,393,96,122
471,926,298,584
472,792,685,253
473,691,617,681
474,86,674,887
475,226,188,669
476,665,159,632
477,934,559,547
478,296,13,47
479,473,592,310
480,984,441,649
481,830,582,176
482,347,612,473
483,431,659,169
484,1183,546,781
485,417,599,616
486,368,488,203
487,1169,283,802
488,442,323,726
489,1038,368,849
490,662,360,874
491,972,250,324
492,961,662,843
493,598,628,744
494,564,502,284
495,179,107,94
496,95,84,100
497,342,203,599
498,475,107,559
499,1115,40,387
500,267,374,426
501,417,474,538
502,963,550,403
503,889,58,303
504,670,267,42
505,877,623,815
506,177,30,149
507,219,661,646
508,1102,353,843
509,512,682,367
510,1033,485,207
511,906,685,473
512,513,175,11
513,647,311,253
514,355,335,452
515,343,118,419
516,381,673,674
517,865,186,657
518,469,537,198
519,688,154,282
520,146,320,428
521,736,533,385
522,20,394,98
523,702,689,611
524,668,585,279
525,513,692,622
526,960,665,891
527,757,486,685
528,485,371,248
529,852,252,550
530,703,266,398
531,401,164,842
532,169,87,419
533,207,125,296
534,207,84,62
535,536,324,705
536,266,66,710
537,552,0,148
538,1140,181,421
539,327,375,116
540,475,642,645
541,335,361,751
542,464,96,290
543,425,166,13
544,316,166,682
545,985,104,584
546,920,158,609
547,1079,437,589
548,954,531,500
549,213,317,600
550,422,499,346
551,117,101,98
552,1193,529,399
553,1018,550,281
554,659,661,486
555,813,101,46
556,685,513,871
557,700,489,843
558,966,32,197
559,473,155,684
560,750,458,242
561,611,263,282
562,129,188,107
563,215,136,510
564,1194,370,109
565,1062,76,226
566,780,329,869
567,97,205,798
568,949,236,44
569,894,439,385
570,204,607,127
571,838,91,622
572,329,340,416
573,932,78,461
574,635,698,757
575,877,650,65
576,452,504,155
577,649,518,18
578,195,225,693
579,738,51,663
580,854,255,446
581,583,568,104
582,664,179,577
583,1147,11,63
584,604,402,102
585,182,316,469
586,804,681,298
587,763,267,6
588,170,16,879
589,467,446,873
590,464,121,808
591,837,415,808
592,185,173,771
593,297,373,583
594,828,285,275
595,501,655,16
596,581,509,211
597,141,559,19
598,1169,416,389
599,8,700,237
600,359,351,822
601,654,689,93
602,88,502,795
603,564,594,394
604,651,339,301
605,185,183,330
606,528,135,764
607,452,54,144
608,1085,219,458
609,917,422,618
610,235,289,267
611,874,208,62
612,911,272,466
613,1182,103,468
614,56,441,325
615,688,531,217
616,131,77,193
617,671,78,494
618,517,527,190
619,518,344,249
620,1164,422,768
621,41,163,498
622,705,552,45
623,6,454,556
624,577,182,709
625,772,76,381
626,26,623,212
627,907,20,684
628,868,506,34
629,32,275,848
630,1021,189,701
631,341,127,757
632,532,651,826
633,747,5,170
634,983,578,26
635,502,528,853
636,258,227,115
637,1107,47,429
638,1144,451,455
639,666,414,147
640,963,570,772
641,704,398,311
642,545,217,34
643,267,641,712
644,1004,11,359
645,906,670,81
646,362,576,672
647,492,460,669
648,676,473,584
649,737,117,224
650,592,592,872
651,20,13,159
652,561,318,273
653,348,253,287
654,853,392,477
655,845,523,133
656,963,653,545
657,544,360,847
658,91,435,330
659,611,82,431
660,640,217,316
661,1194,626,869
662,690,371,210
663,933,147,525
664,47,632,430
665,886,500,491
666,227,445,471
667,768,690,733
668,721,352,808
669,935,173,606
670,404,493,77
671,944,168,632
672,938,556,347
673,1107,186,193
674,387,368,900
675,1011,86,817
676,584,108,442
677,1090,131,536
678,858,490,384
679,759,471,321
680,403,616,625
681,571,53,284
682,598,102,440
683,191,582,401
684,557,416,147
685,596,653,797
686,378,675,183
687,876,108,140
688,406,209,795
689,1119,417,411
690,620,310,595
691,204,640,126
692,794,241,0
693,829,52,491
694,932,693,8
695,289,7,421
696,521,650,236
697,945,677,583
698,1112,368,881
699,733,218,510
